Subject  1 | CSP + SVM            | acc=75.09%  kappa=0.67
Subject  1 | FBCSP + SVM          | acc=75.09%  kappa=0.67
Subject  2 | CSP + SVM            | acc=39.22%  kappa=0.19
Subject  2 | FBCSP + SVM          | acc=47.00%  kappa=0.29
Subject  3 | CSP + SVM            | acc=72.53%  kappa=0.63
Subject  3 | FBCSP + SVM          | acc=85.71%  kappa=0.81
Subject  4 | CSP + SVM            | acc=44.74%  kappa=0.26
Subject  4 | FBCSP + SVM          | acc=59.65%  kappa=0.46
Subject  5 | CSP + SVM            | acc=34.06%  kappa=0.13
Subject  5 | FBCSP + SVM          | acc=51.45%  kappa=0.35
Subject  6 | CSP + SVM            | acc=31.16%  kappa=0.08
Subject  6 | FBCSP + SVM          | acc=38.60%  kappa=0.18
Subject  7 | CSP + SVM            | acc=50.18%  kappa=0.34
Subject  7 | FBCSP + SVM          | acc=69.31%  kappa=0.59
Subject  8 | CSP + SVM            | acc=44.65%  kappa=0.26
Subject  8 | FBCSP + SVM          | acc=74.17%  kappa=0.66
Subject  9 | CSP + SVM            | acc=55.30%  kappa=0.41
Subject  9 | FBCSP + SVM          | acc=59.85%  kappa=0.46
